variant,ticker,trade_date,open,high,low,close,volume,key_level,stop_price,actual_entry_open,actual_ret_10d_net,actual_ret_10d_stop_net,actual_stop_hit_10d
base_signal,1210,2025-08-12,54.3,55.0,54.1,54.5,4079916,54.3,53.8295,54.6,-0.03515402930402931,-0.019961721611721585,True
base_signal,1231,2025-10-08,114.5,118.0,114.5,117.0,545260,115.5,113.9275,117.5,-0.05265851063829783,-0.03625425531914903,True
base_signal,1231,2025-11-14,93.8,94.9,92.3,94.9,1112668,93.0,91.8385,95.2,0.04457016806722693,0.04457016806722693,False
base_signal,1235,2026-01-22,39.75,40.8,39.5,40.8,17644,39.8,39.3025,40.8,-0.016879411764705733,-0.016879411764705733,False
base_signal,1235,2026-03-12,37.3,38.7,37.3,38.15,33210,38.0,37.113499999999995,38.1,0.053205118110236115,-0.031742388451443705,True
base_signal,1235,2026-03-16,36.4,36.4,35.6,35.95,34081,35.8,35.422000000000004,35.9,0.04986030640668528,0.04986030640668528,False
base_signal,1295,2026-02-03,79.9,81.1,77.5,79.5,88667,78.0,77.1125,80.0,-0.01585000000000001,-0.04194375000000004,True
base_signal,1303,2025-06-23,27.15,27.35,26.3,27.1,54667236,26.8,26.1685,27.1,0.04396549815498143,0.04396549815498143,False
base_signal,1303,2025-07-11,27.05,27.1,26.25,26.65,18654663,26.3,26.11875,26.6,0.2591875939849623,0.2591875939849623,False
base_signal,1305,2025-11-24,10.6,10.6,10.35,10.5,869433,10.4,10.29825,10.65,0.05048802816901401,0.05048802816901401,False
base_signal,1307,2025-04-11,34.05,34.7,32.05,34.6,2591978,32.4,31.889749999999996,35.45,0.03646311706629048,0.03646311706629048,False
base_signal,1319,2025-06-17,111.0,111.0,107.5,109.5,6208351,109.5,106.9625,110.0,-0.10584999999999997,-0.03346363636363634,True
base_signal,1319,2025-06-23,99.0,100.0,97.9,100.0,5145023,98.2,97.4105,101.5,-0.046244088669950646,-0.046140640394088696,True
base_signal,1336,2025-07-10,18.95,18.95,18.35,18.45,466882,18.4,18.25825,18.4,-0.011284782608695566,-0.013553804347826028,True
base_signal,1338,2026-03-11,15.6,15.85,15.4,15.55,366366,15.55,15.323,15.5,-0.07681774193548382,-0.017269354838709707,True
base_signal,1338,2026-03-27,14.25,14.45,14.1,14.2,129109,14.2,14.029499999999999,14.15,0.16022773851590114,0.16022773851590114,False
base_signal,1340,2025-09-12,5.49,5.59,5.45,5.52,574728,5.47,5.42275,5.57,0.5219776481149011,0.5219776481149011,False
base_signal,1418,2025-04-11,21.65,23.45,21.5,22.75,100827,22.1,21.3925,22.0,-0.030850000000000023,-0.03346363636363645,True
base_signal,1418,2025-07-01,20.15,20.55,19.9,20.25,236982,19.95,19.8005,20.55,-0.02531472019464729,-0.02531472019464729,False
base_signal,1447,2026-03-25,5.11,5.12,5.02,5.07,1944509,5.05,4.9948999999999995,5.1,-0.015653921568627417,-0.026457843137254945,True
base_signal,1449,2025-11-05,10.55,10.65,10.35,10.55,452489,10.5,10.29825,10.6,-0.06245377358490565,-0.034316981132075465,True
base_signal,1463,2025-10-21,17.45,17.45,17.0,17.1,250825,17.1,16.915,17.1,-0.014621929824561543,-0.016668713450292506,True
base_signal,1463,2025-10-27,17.1,17.1,16.5,17.0,423434,17.0,16.4175,17.0,0.0029735294117646744,0.0029735294117646744,False
base_signal,1475,2025-04-14,39.55,40.2,38.9,39.3,558706,39.0,38.7055,39.85,0.0681776035131744,0.0681776035131744,False
base_signal,1475,2025-07-04,39.9,40.0,38.8,39.6,241773,38.9,38.605999999999995,39.3,-0.013483587786259445,-0.023509033078880505,True
base_signal,1475,2025-12-12,31.6,32.25,31.05,31.55,117937,31.5,30.894750000000002,31.4,-0.040881847133757844,-0.02194076433121004,True
base_signal,1476,2025-04-11,332.0,353.5,320.0,353.5,3863975,320.5,318.4,350.5,0.10684614835948639,0.10684614835948639,False
base_signal,1477,2025-04-11,250.0,256.5,229.0,256.0,5682496,231.0,227.855,257.5,0.08929563106796126,0.08929563106796126,False
base_signal,1477,2026-04-01,234.0,234.0,225.5,228.0,3581878,226.0,224.3725,228.0,-0.06286754385964907,-0.02176008771929825,True
base_signal,1503,2025-11-19,164.0,167.0,160.5,162.5,2150596,161.0,159.6975,168.0,-0.017754761904761864,-0.017754761904761864,False
base_signal,1512,2026-03-09,7.18,7.18,6.91,7.07,144550,7.03,6.87545,7.18,0.061002367688022384,0.061002367688022384,False
base_signal,1515,2025-04-11,23.6,25.1,23.6,24.8,551298,23.7,23.482000000000003,26.0,0.18068846153846155,0.18068846153846155,False
base_signal,1515,2026-03-09,24.65,24.8,24.3,24.6,558071,24.6,24.1785,24.8,-0.038108064516129116,-0.03091048387096782,True
base_signal,1516,2026-03-27,21.0,21.0,20.05,20.45,44858,20.35,19.94975,22.0,-0.10130454545454556,-0.0990431818181817,True
base_signal,1519,2025-04-11,321.0,383.5,320.0,383.0,6052169,321.5,318.4,390.5,0.0235994238156211,0.0235994238156211,False
base_signal,1522,2026-02-11,45.85,45.9,44.05,44.4,4575867,44.35,43.82975,45.1,-0.11117150776053217,-0.03401518847006666,True
base_signal,1522,2026-03-18,35.15,35.15,34.15,34.25,1500349,34.25,33.97925,34.0,-0.05879117647058816,-0.006460294117647015,True
base_signal,1527,2025-08-13,33.2,33.45,32.65,32.8,693107,32.7,32.48675,32.55,-0.01813878648233478,-0.007793164362519068,True
base_signal,1528,2025-04-11,11.35,12.25,11.15,12.15,3267143,11.2,11.09425,12.4,-0.021979032258064614,-0.021979032258064614,False
base_signal,1533,2025-04-11,25.55,27.45,25.5,26.75,205786,25.6,25.3725,26.8,0.08183656716417911,0.08183656716417911,False
base_signal,1536,2025-04-11,48.9,51.5,46.5,51.5,9507255,47.25,46.2675,52.1,0.13618454894433776,0.13618454894433776,False
base_signal,1536,2025-11-05,57.1,57.7,56.0,57.1,1278435,56.9,55.72,57.7,-0.03531273830155988,-0.040165424610052104,True
base_signal,1538,2026-02-25,25.5,25.5,23.0,23.8,102036,23.1,22.885,23.3,-0.2547770386266095,-0.023661158798283212,True
base_signal,1538,2026-03-02,22.95,23.0,22.95,23.0,13020,23.0,22.83525,23.0,-0.24498043478260864,-0.013013043478260912,True
base_signal,1538,2026-03-17,17.5,17.6,16.25,17.6,111840,16.5,16.16875,17.45,-0.2665949856733524,-0.0792740687679083,True
base_signal,1539,2025-04-11,16.65,17.7,15.8,17.45,304174,15.95,15.721,17.9,0.04442932960893877,0.04442932960893877,False
base_signal,1563,2025-11-21,41.35,41.35,40.5,40.85,493433,40.75,40.2975,41.0,0.01610121951219514,0.01610121951219514,False
base_signal,1569,2026-01-09,51.9,52.0,50.4,51.1,541102,51.0,50.147999999999996,51.1,0.09786819960861051,-0.02448013698630145,True
base_signal,1569,2026-01-13,50.1,50.3,48.6,49.9,1484910,49.7,48.357,50.1,0.10991846307385225,0.10991846307385225,False
base_signal,1570,2025-04-11,19.6,22.0,19.6,21.8,155046,19.7,19.502000000000002,23.15,0.0006294816414688315,0.0006294816414688315,False
base_signal,1582,2025-04-11,71.3,73.8,69.4,73.7,2409379,70.8,69.05300000000001,75.0,0.03281666666666685,0.03281666666666685,False
base_signal,1583,2026-03-09,42.85,44.8,42.85,43.85,36081,43.55,42.63575,44.95,-0.034771023359288146,-0.05733498331479423,True
base_signal,1589,2025-09-12,19.75,20.15,19.5,19.75,915624,19.65,19.4025,19.85,0.17551020151133492,-0.028394080604534057,True
base_signal,1589,2026-03-10,5.99,7.31,5.99,7.31,9205657,6.65,5.96005,6.58,0.18108009118541016,0.18108009118541016,False
base_signal,1591,2025-04-11,36.0,36.0,33.35,34.75,253072,33.8,33.18325,35.55,0.07994465541490872,0.07994465541490872,False
base_signal,1591,2026-03-24,41.0,42.05,40.4,40.7,188858,40.5,40.198,40.7,0.18456769041769042,-0.01818415233415236,True
base_signal,1593,2025-09-19,28.4,28.4,27.55,27.8,201926,27.6,27.41225,28.05,-0.0076325311942959445,-0.0076325311942959445,False
base_signal,1604,2025-04-11,25.2,25.65,24.6,25.5,1392739,25.1,24.477,25.55,-0.021505577299413027,-0.021505577299413027,False
base_signal,1609,2025-04-11,31.0,33.3,29.0,33.25,8938633,29.1,28.855,33.8,0.02077721893491149,0.02077721893491149,False
base_signal,1609,2026-02-06,38.0,38.0,36.7,37.65,7490059,37.05,36.5165,38.3,-0.022821279373368066,-0.022821279373368066,False
base_signal,1612,2025-11-10,38.0,38.1,35.25,35.45,6228412,35.45,35.07375,35.5,-0.03261056338028177,-0.01785704225352123,True
base_signal,1616,2025-11-11,30.9,31.1,30.2,30.3,1784522,30.25,30.049,30.45,-0.040332758620689725,-0.019019129720853824,True
base_signal,1616,2026-03-13,25.75,25.95,25.3,25.5,807254,25.4,25.1735,25.5,-0.07643823529411772,-0.01865392156862742,True
base_signal,1623,2026-02-06,222.0,226.5,215.0,223.5,289946,218.0,213.925,227.0,-0.10496894273127752,-0.06344911894273117,True
base_signal,1623,2026-03-05,211.5,217.5,199.0,203.5,404648,200.0,198.005,206.0,-0.030121844660194165,-0.044660679611650524,True
base_signal,1709,2025-09-02,16.7,16.75,16.6,16.7,307837,16.7,16.517000000000003,16.7,-0.03579011976047906,-0.016808083832335098,True
base_signal,1713,2025-08-12,44.2,45.05,43.5,44.7,560313,44.0,43.2825,45.05,0.16396132075471717,0.16396132075471717,False
base_signal,1736,2025-04-11,165.0,181.5,157.5,179.5,2937581,158.0,156.7125,181.0,-0.033474309392265235,-0.033474309392265235,False
base_signal,1736,2025-05-09,165.5,167.0,155.0,161.0,1354264,157.5,154.225,164.5,-0.10615395136778114,-0.0683120060790274,True
base_signal,1777,2025-07-25,78.3,79.3,78.3,78.7,44457,78.5,77.9085,78.4,-0.06962551020408167,-0.012119132653061283,True
base_signal,1784,2025-07-09,64.6,65.1,63.4,64.7,139884,64.3,63.083,64.7,0.04360904173106652,0.04360904173106652,False
base_signal,1784,2026-03-12,88.9,88.9,85.8,87.3,350954,87.0,85.371,86.0,-0.06398953488372092,-0.013163953488372161,True
base_signal,1785,2025-04-11,46.3,48.6,46.3,48.6,14229051,46.75,46.0685,49.95,0.04319904904904894,0.04319904904904894,False
base_signal,1786,2025-04-11,89.5,91.2,83.5,90.0,2106883,83.9,83.0825,90.5,0.020669337016574606,0.020669337016574606,False
base_signal,1786,2025-11-14,74.6,75.4,72.8,74.4,1328615,74.3,72.43599999999999,75.1,0.07404347536617842,0.07404347536617842,False
base_signal,1799,2025-11-11,35.1,35.5,34.35,35.0,178851,35.0,34.17825,35.6,-0.05219831460674149,-0.04578679775280912,True
base_signal,1815,2025-04-11,22.25,25.25,22.2,25.25,41718136,22.45,22.089,26.1,0.07844118773946365,0.07844118773946365,False
base_signal,1907,2026-03-05,24.25,24.35,23.95,24.15,1256845,24.05,23.83025,23.95,-0.007937682672233805,-0.007937682672233805,False
base_signal,2009,2025-04-11,31.65,33.0,29.6,33.0,3830882,29.9,29.452,33.75,-0.02659074074074084,-0.02659074074074084,False
base_signal,2009,2026-03-09,41.3,41.5,39.9,41.4,2398154,41.15,39.7005,43.15,-0.06842242178447264,-0.06842242178447264,False
base_signal,2012,2025-09-01,17.6,17.6,16.95,17.5,80718,17.5,16.86525,17.1,0.008769883040935643,0.008769883040935643,False
base_signal,2014,2025-04-22,15.35,15.7,15.2,15.55,4734315,15.3,15.123999999999999,16.0,0.012900000000000043,0.012900000000000043,False
base_signal,2020,2026-04-16,23.35,23.4,23.2,23.4,1238226,23.25,23.084,23.4,-0.05926880341880345,-0.019354273504273413,True
base_signal,2024,2026-03-10,14.8,14.85,14.8,14.85,12295,14.85,14.726,15.2,-0.022297368421052656,-0.037034210526315704,True
base_signal,2025,2025-07-11,11.8,12.3,11.8,12.15,91886,12.0,11.741000000000001,12.15,-0.009965226337448653,-0.03951255144032915,True
base_signal,2025,2025-07-15,11.9,11.9,11.6,11.8,61222,11.8,11.542,11.65,0.011317381974248829,-0.015120386266094445,True
base_signal,2025,2025-07-16,11.65,11.75,11.5,11.7,121738,11.6,11.4425,11.45,0.029084497816593967,-0.006505021834060965,True
base_signal,2027,2025-05-09,40.0,40.0,38.5,38.95,31774879,38.7,38.3075,39.0,-0.06482435897435887,-0.023606410256410283,True
base_signal,2049,2025-04-11,180.0,191.0,177.0,191.0,11640947,179.0,176.115,194.0,0.02507783505154628,0.02507783505154628,False
base_signal,2049,2025-11-14,195.0,201.0,194.0,198.5,3457008,196.5,193.03,200.0,-0.04085000000000003,-0.04070000000000005,True
base_signal,2049,2025-11-19,186.5,190.0,185.0,186.5,2437772,186.0,184.075,189.5,0.01525817941952514,-0.03447796833773096,True
base_signal,2059,2026-01-06,3225.0,3310.0,3160.0,3205.0,1251609,3200.0,3144.2,3280.0,0.10390609756097571,0.10390609756097571,False
base_signal,2059,2026-02-03,3160.0,3170.0,3045.0,3105.0,1158091,3050.0,3029.775,3090.0,0.10903673139158579,-0.025340291262135863,True
base_signal,2059,2026-02-04,3090.0,3095.0,3020.0,3075.0,935637,3045.0,3004.9,3110.0,0.09382845659163977,-0.039644212218649534,True
base_signal,2066,2025-11-05,55.5,56.6,54.6,56.3,389053,55.3,54.327,56.6,-0.1701609540636043,-0.046009010600706814,True
base_signal,2067,2025-05-13,8.99,8.99,8.0,8.45,109696,8.19,7.96,8.45,-0.2378026627218934,-0.06383816568047326,True
base_signal,2067,2026-03-06,9.6,9.6,8.9,9.1,300905,9.05,8.855500000000001,8.19,-0.010734004884004757,0.07540763125763142,True
base_signal,2067,2026-03-10,8.65,8.65,8.15,8.2,124658,8.19,8.109250000000001,8.2,-0.03389878048780479,-0.016917073170731524,True
base_signal,2072,2025-11-12,211.97,215.0,207.0,210.5,150437,209.0,205.965,209.42,0.14017234743577514,-0.022347946709960743,True
base_signal,2072,2025-11-13,209.42,212.0,203.0,207.0,301466,207.0,201.98499999999999,207.46,0.11243786272052439,-0.032240629518943555,True
tradable_filter,1210,2025-08-12,54.3,55.0,54.1,54.5,4079916,54.3,53.8295,54.6,-0.03515402930402931,-0.019961721611721585,True
tradable_filter,1231,2025-11-14,93.8,94.9,92.3,94.9,1112668,93.0,91.8385,95.2,0.04457016806722693,0.04457016806722693,False
tradable_filter,1303,2025-06-23,27.15,27.35,26.3,27.1,54667236,26.8,26.1685,27.1,0.04396549815498143,0.04396549815498143,False
tradable_filter,1303,2025-07-11,27.05,27.1,26.25,26.65,18654663,26.3,26.11875,26.6,0.2591875939849623,0.2591875939849623,False
tradable_filter,1305,2025-11-24,10.6,10.6,10.35,10.5,869433,10.4,10.29825,10.65,0.05048802816901401,0.05048802816901401,False
tradable_filter,1307,2025-04-11,34.05,34.7,32.05,34.6,2591978,32.4,31.889749999999996,35.45,0.03646311706629048,0.03646311706629048,False
tradable_filter,1319,2025-06-17,111.0,111.0,107.5,109.5,6208351,109.5,106.9625,110.0,-0.10584999999999997,-0.03346363636363634,True
tradable_filter,1319,2025-06-23,99.0,100.0,97.9,100.0,5145023,98.2,97.4105,101.5,-0.046244088669950646,-0.046140640394088696,True
tradable_filter,1449,2025-11-05,10.55,10.65,10.35,10.55,452489,10.5,10.29825,10.6,-0.06245377358490565,-0.034316981132075465,True
tradable_filter,1476,2025-04-11,332.0,353.5,320.0,353.5,3863975,320.5,318.4,350.5,0.10684614835948639,0.10684614835948639,False
tradable_filter,1477,2025-04-11,250.0,256.5,229.0,256.0,5682496,231.0,227.855,257.5,0.08929563106796126,0.08929563106796126,False
tradable_filter,1477,2026-04-01,234.0,234.0,225.5,228.0,3581878,226.0,224.3725,228.0,-0.06286754385964907,-0.02176008771929825,True
tradable_filter,1503,2025-11-19,164.0,167.0,160.5,162.5,2150596,161.0,159.6975,168.0,-0.017754761904761864,-0.017754761904761864,False
tradable_filter,1519,2025-04-11,321.0,383.5,320.0,383.0,6052169,321.5,318.4,390.5,0.0235994238156211,0.0235994238156211,False
tradable_filter,1522,2026-02-11,45.85,45.9,44.05,44.4,4575867,44.35,43.82975,45.1,-0.11117150776053217,-0.03401518847006666,True
tradable_filter,1522,2026-03-18,35.15,35.15,34.15,34.25,1500349,34.25,33.97925,34.0,-0.05879117647058816,-0.006460294117647015,True
tradable_filter,1528,2025-04-11,11.35,12.25,11.15,12.15,3267143,11.2,11.09425,12.4,-0.021979032258064614,-0.021979032258064614,False
tradable_filter,1536,2025-04-11,48.9,51.5,46.5,51.5,9507255,47.25,46.2675,52.1,0.13618454894433776,0.13618454894433776,False
tradable_filter,1536,2025-11-05,57.1,57.7,56.0,57.1,1278435,56.9,55.72,57.7,-0.03531273830155988,-0.040165424610052104,True
tradable_filter,1569,2026-01-09,51.9,52.0,50.4,51.1,541102,51.0,50.147999999999996,51.1,0.09786819960861051,-0.02448013698630145,True
tradable_filter,1569,2026-01-13,50.1,50.3,48.6,49.9,1484910,49.7,48.357,50.1,0.10991846307385225,0.10991846307385225,False
tradable_filter,1582,2025-04-11,71.3,73.8,69.4,73.7,2409379,70.8,69.05300000000001,75.0,0.03281666666666685,0.03281666666666685,False
tradable_filter,1589,2025-09-12,19.75,20.15,19.5,19.75,915624,19.65,19.4025,19.85,0.17551020151133492,-0.028394080604534057,True
tradable_filter,1609,2025-04-11,31.0,33.3,29.0,33.25,8938633,29.1,28.855,33.8,0.02077721893491149,0.02077721893491149,False
tradable_filter,1609,2026-02-06,38.0,38.0,36.7,37.65,7490059,37.05,36.5165,38.3,-0.022821279373368066,-0.022821279373368066,False
tradable_filter,1612,2025-11-10,38.0,38.1,35.25,35.45,6228412,35.45,35.07375,35.5,-0.03261056338028177,-0.01785704225352123,True
tradable_filter,1616,2025-11-11,30.9,31.1,30.2,30.3,1784522,30.25,30.049,30.45,-0.040332758620689725,-0.019019129720853824,True
tradable_filter,1616,2026-03-13,25.75,25.95,25.3,25.5,807254,25.4,25.1735,25.5,-0.07643823529411772,-0.01865392156862742,True
tradable_filter,1623,2026-02-06,222.0,226.5,215.0,223.5,289946,218.0,213.925,227.0,-0.10496894273127752,-0.06344911894273117,True
tradable_filter,1623,2026-03-05,211.5,217.5,199.0,203.5,404648,200.0,198.005,206.0,-0.030121844660194165,-0.044660679611650524,True
tradable_filter,1713,2025-08-12,44.2,45.05,43.5,44.7,560313,44.0,43.2825,45.05,0.16396132075471717,0.16396132075471717,False
tradable_filter,1736,2025-04-11,165.0,181.5,157.5,179.5,2937581,158.0,156.7125,181.0,-0.033474309392265235,-0.033474309392265235,False
tradable_filter,1736,2025-05-09,165.5,167.0,155.0,161.0,1354264,157.5,154.225,164.5,-0.10615395136778114,-0.0683120060790274,True
tradable_filter,1785,2025-04-11,46.3,48.6,46.3,48.6,14229051,46.75,46.0685,49.95,0.04319904904904894,0.04319904904904894,False
tradable_filter,1786,2025-04-11,89.5,91.2,83.5,90.0,2106883,83.9,83.0825,90.5,0.020669337016574606,0.020669337016574606,False
tradable_filter,1786,2025-11-14,74.6,75.4,72.8,74.4,1328615,74.3,72.43599999999999,75.1,0.07404347536617842,0.07404347536617842,False
tradable_filter,1815,2025-04-11,22.25,25.25,22.2,25.25,41718136,22.45,22.089,26.1,0.07844118773946365,0.07844118773946365,False
tradable_filter,1907,2026-03-05,24.25,24.35,23.95,24.15,1256845,24.05,23.83025,23.95,-0.007937682672233805,-0.007937682672233805,False
tradable_filter,2009,2025-04-11,31.65,33.0,29.6,33.0,3830882,29.9,29.452,33.75,-0.02659074074074084,-0.02659074074074084,False
tradable_filter,2009,2026-03-09,41.3,41.5,39.9,41.4,2398154,41.15,39.7005,43.15,-0.06842242178447264,-0.06842242178447264,False
tradable_filter,2014,2025-04-22,15.35,15.7,15.2,15.55,4734315,15.3,15.123999999999999,16.0,0.012900000000000043,0.012900000000000043,False
tradable_filter,2020,2026-04-16,23.35,23.4,23.2,23.4,1238226,23.25,23.084,23.4,-0.05926880341880345,-0.019354273504273413,True
tradable_filter,2027,2025-05-09,40.0,40.0,38.5,38.95,31774879,38.7,38.3075,39.0,-0.06482435897435887,-0.023606410256410283,True
tradable_filter,2049,2025-04-11,180.0,191.0,177.0,191.0,11640947,179.0,176.115,194.0,0.02507783505154628,0.02507783505154628,False
tradable_filter,2049,2025-11-14,195.0,201.0,194.0,198.5,3457008,196.5,193.03,200.0,-0.04085000000000003,-0.04070000000000005,True
tradable_filter,2049,2025-11-19,186.5,190.0,185.0,186.5,2437772,186.0,184.075,189.5,0.01525817941952514,-0.03447796833773096,True
tradable_filter,2059,2026-01-06,3225.0,3310.0,3160.0,3205.0,1251609,3200.0,3144.2,3280.0,0.10390609756097571,0.10390609756097571,False
tradable_filter,2059,2026-02-03,3160.0,3170.0,3045.0,3105.0,1158091,3050.0,3029.775,3090.0,0.10903673139158579,-0.025340291262135863,True
tradable_filter,2059,2026-02-04,3090.0,3095.0,3020.0,3075.0,935637,3045.0,3004.9,3110.0,0.09382845659163977,-0.039644212218649534,True
tradable_filter,2072,2026-03-30,180.5,185.0,177.5,184.5,693109,180.5,176.6125,184.0,-0.054763043478260866,-0.04599945652173907,True
tradable_filter,2102,2026-03-09,18.7,18.9,18.3,18.5,1106231,18.4,18.2085,18.65,0.010235790884718508,0.010235790884718508,False
tradable_filter,2105,2025-06-17,41.1,41.2,40.1,41.0,12408834,40.6,39.8995,41.0,-0.07048414634146336,-0.032691463414634116,True
tradable_filter,2105,2025-10-21,33.45,33.55,33.0,33.2,6502173,33.05,32.835,33.25,-0.0404364661654135,-0.01833120300751876,True
tradable_filter,2236,2025-10-20,83.1,90.6,82.2,89.3,1607696,83.1,81.789,89.6,-0.0259392857142857,-0.0259392857142857,False
tradable_filter,2241,2025-04-11,21.0,23.25,20.95,22.75,740606,21.15,20.84525,23.1,0.030946536796536604,0.030946536796536604,False
tradable_filter,2241,2026-01-23,35.15,35.15,33.55,34.0,644217,33.75,33.38225,34.0,-0.12790882352941177,-0.024019117647058864,True
tradable_filter,2241,2026-01-26,34.0,34.05,33.3,33.55,502556,33.55,33.1335,33.7,-0.12157700296735904,-0.022660089020771636,True
tradable_filter,2241,2026-01-27,33.7,33.7,33.2,33.55,325463,33.3,33.034000000000006,33.5,-0.10435746268656718,-0.01976044776119388,True
tradable_filter,2258,2026-03-13,32.65,32.85,32.2,32.25,1625647,32.25,32.039,32.25,-0.10662519379844956,-0.012392635658914665,True
tradable_filter,2301,2026-03-09,147.0,150.0,146.0,149.0,21883775,148.0,145.27,155.5,-0.015496302250803874,-0.015496302250803874,False
tradable_filter,2302,2026-03-09,17.5,17.5,16.65,16.9,961729,16.8,16.56675,17.55,0.036885042735042804,0.036885042735042804,False
